Source,Date,Author,Comment,Result
1A0MMi1gTcI,10-10-2021,ฝันดีคับน้อง,ลองเข้าป่าได้มั้ยคับอยากดู,Neutral
1A0MMi1gTcI,09-10-2021,ธีรภัทร บุญชู,เม็ดส้มเล่นแบบนี้หรอ5 ชอบๆ,Positive
1A0MMi1gTcI,09-10-2021,ธีรภัทร บุญชู,พูดชัดๆ ช้าๆ เรียบเรียงข้อความ จะน่าดูมาก,Negative
1A0MMi1gTcI,08-10-2021,DoubleN,พี่เป็นคนที่เล่นตาไชย โหดสุดละ,Positive
1A0MMi1gTcI,07-10-2021,Assadawut Sangchai,นี้หรือคือโรม,Neutral
1A0MMi1gTcI,01-10-2021,INTENTION CH,พี่ครับปิดป้อมกับฟิกเกอร์อันไหนดีกว่าครับ,Neutral
1A0MMi1gTcI,25-09-2021,Dawwadeung,คลิปดีมากครับ ติดอย่างเดียวเลยพูดเร็วไปหน่อยแล้วไม่ค่อยชัดเจนฟังไม่ทัน.,Neutral
1A0MMi1gTcI,24-09-2021,กาน Adr,อธิบายดีครับ,Positive
1A0MMi1gTcI,19-09-2021,K Rov. Highlights,ช่องดีมากก คุณภาพครับ💖,Positive
1A0MMi1gTcI,18-09-2021,อยากโดน ช้อนแกงอะค้าบ,ผมกำลังหัด Tachi อยุ่พอดีเลยเล่นยากนิดนึงแต่ไม่ยากเกินไป,Neutral
1A0MMi1gTcI,17-09-2021,Len Lojen,เวลาเล่นtachiรู้สึกว่าเก่งอยู่คนเดียวมั้ยครับ ผมเป็นบ่อยมากMVPตลอด เเต่ส่วนใหญ่จะเป็นMVPเเพ้5,Neutral
1A0MMi1gTcI,17-09-2021,Sorawit Kawsomnugk,ปรับภาพกราฟฟิกให้สวยกว่านี้คลิปจะน่าดูมากครับ,Positive
1A0MMi1gTcI,16-09-2021,_thxz_,กำลังติดเล่นตัวนี้พอดีสอนดีมากครับ,Positive
1A0MMi1gTcI,14-09-2021,Apicha thanlangsri,✌,Neutral
1A0MMi1gTcI,14-09-2021,Kaew Only,ช่องดีๆแบบนี้ติดตามเลยครับ,Positive
1A0MMi1gTcI,11-09-2021,xNOEYKUNGz,เพิ่มเติมให้อีกอย่างครับ ทาชิโรมต้องคู่กับเเครี่ที่มันดูเเลตัวเองได้ เทลงี้ ยอนงี้ ตายยับ55,Neutral
1A0MMi1gTcI,10-09-2021,meenoizsoez,ทาชิโรมใช้สกิลรองเท้าหรือฟิกเกอร์ อันไหนดีกว่ากันครับแต่ละอันควรเลือกใช้ในเกมเเบบไหนครับ,Neutral
1A0MMi1gTcI,09-09-2021,Kom Tat,16:21 ทาโกะยากิ 5,Neutral
1A0MMi1gTcI,09-09-2021,Bank NT,เก็บสแต็คเก่งมาก กว่าผมจะเก็บครบเลือดเหลือ10% เลยเปิดด้วยอัลติซะเลย55,Positive
1A0MMi1gTcI,09-09-2021,Nyarumi Rukimi,Fc ครับ พี่เชส,Positive
